transaction_id,order_id,transaction_date,payment_type,card_number,expiry_date,cvv,payment_status
01HRVXZN5THRA9NAWHSCR5FG6A,01HRVX0VY0J0Y2GCS53YGMGR13,16/04/2023,Debit Card,374283630627289,15/07/2033,513,Pending
01HRVXZNW5AM24HR9XMVSPK0JS,01HRVX0VYNAFY2MRB16PVF5RZY,19/11/2021,Credit Card,374283861884427,29/04/2032,510,Pending
01HRVXZP1S2PA6F74PSHS9H2X6,01HRVX0W07YBN4F5H26F45F4AK,10/10/2020,Credit Card,374283605085521,09/03/2034,783,Processing
01HRVXZP1VJY0M2TECK0MD9AQT,01HRVX0VZVWW18K5DND9F22Y9H,23/01/2022,Credit Card,374288518615678,04/04/2030,743,Processed
01HRVXZP1XWR4849JG5C8SDDTN,01HRVX100QZX5JM5431YKCQ7HZ,16/01/2022,Debit Card,374283173077173,23/08/2033,593,Processing
01HRVXZP1ZBM086A2YC3PXK03Z,01HRVX104RVWNBA25X3FCQX5MJ,06/04/2023,Credit Card,374288977413441,29/03/2032,578,Processed
01HRVXZP2170691PJGG7R4EVVP,01HRVX0VXGX5R8TZ5XVFBY4CGX,23/03/2023,Debit Card,374283722295490,07/01/2032,485,Processed
01HRVXZP235FF3FW55P4BJPBG0,01HRVX0W01XKBSREQC8BZP6B5R,05/07/2022,Debit Card,374288303295405,11/06/2030,283,Pending
01HRVXZP259DHYDF424F8HGFBK,01HRVX0ZZTM0MNY0Q4ZN2A1KXD,15/06/2023,Credit Card,374288500291751,18/04/2031,178,Processed
01HRVXZP27VJ8E7HY02W24VKJD,01HRVX1016T6WD4RF41YDTA48M,23/10/2020,Debit Card,374288999072985,24/02/2030,403,Processing
01HRVXZP29V904AN200M4SPT6C,01HRVX0VY84VMDQKV3DHM1ZFCQ,28/01/2020,Credit Card,374283624958823,13/12/2031,359,Pending
01HRVXZP2B8RW0E9FCY22GR97Y,01HRVX0VZHNQB9KXTKT7426YA7,21/11/2021,Credit Card,374283877195834,27/06/2032,782,Processing
01HRVXZP2DQMYWPZ8T9S8GT3FN,01HRVX0VYHM3VFR8DJDCG73XF7,20/05/2023,Credit Card,374283305624066,28/11/2031,639,Processed
01HRVXZP2FS4EVTR18Q58X83W4,01HRVX0VX0K8RSG9VGDQVJ528X,08/07/2022,Debit Card,374283336819909,20/04/2032,986,Processed
01HRVXZP2JNGEWZRGMK6Q7127H,01HRVX102S9NX0ND17YSR412BA,16/10/2023,Credit Card,374283907130975,13/11/2034,445,Pending
